case_number,incident_datetime,incident_type,FCR,address_1,city,state,zip,created_at,updated_at,hour_of_day,day_of_week,Incident Block Location
C18035529,08/10/2018 02:00:00 PM,Other,511,11600 Block AVONDALE RD NE,REDMOND,WA,98052,01/11/2019 12:00:00 AM,02/20/2019 11:39:00 PM,14,Friday,POINT (-122.093008 47.703513)
C19032435,08/24/2019 09:00:00 AM,Theft,284,10400 Block 10TH AVE SW,SEATTLE,WA,98146,08/25/2019 09:05:00 PM,08/26/2019 06:18:00 PM,9,Saturday,POINT (-122.347411 47.509278)
C19023514,06/20/2019 01:49:00 PM,Disorder,600,1 Block AVE & VIRGINIA ST,SEATTLE,WA,98101,06/21/2019 12:46:00 AM,06/21/2019 04:57:00 PM,13,Thursday,
C19003246,01/23/2019 05:44:00 PM,Other,511,25300 Block KRAIN,ENUMCLAW,WA,98022,01/30/2019 05:48:00 PM,02/21/2019 02:31:00 AM,17,Wednesday,
C19010938,03/22/2019 02:35:00 AM,Other,504,35100 Block ENCHANTED PKWY S,FEDERAL WAY,WA,98003,03/22/2019 12:04:00 PM,03/22/2019 04:50:00 PM,2,Friday,
C18036970,08/21/2018 02:21:00 AM,Other,510,15800 Block INTERNATIONAL BLVD,TUKWILA,WA,98188,01/11/2019 12:11:00 AM,02/15/2019 09:45:00 PM,2,Tuesday,POINT (-122.290796 47.461332)
C19007928,02/28/2019 03:00:00 PM,Property Crime,332,7900 Block S 125TH ST,SEATTLE,WA,98178,03/02/2019 02:09:00 AM,03/06/2019 12:26:00 AM,15,Thursday,POINT (-122.234347 47.490695)
C19015639,04/24/2019 09:42:00 AM,Other,371,19700 Block 183RD WAY SE,RENTON,WA,98058,04/26/2019 10:16:00 PM,04/27/2019 12:14:00 AM,9,Wednesday,POINT (-122.09850900000002 47.425129)
C18039015,09/04/2018 06:00:00 AM,Theft from Vehicle,312,3600 Block SOUTHCENTER BLVD,TUKWILA,WA,98188,02/21/2019 12:03:00 AM,02/21/2019 12:04:00 AM,6,Tuesday,POINT (-122.287086 47.465157)
C19044916,11/23/2019 12:00:00 PM,Property Crime,334,1800 Block SW 106TH ST,SEATTLE,WA,98146,11/27/2019 09:46:00 PM,11/27/2019 11:37:00 PM,12,Saturday,POINT (-122.35822 47.508599)
C18053347,12/12/2018 10:16:00 AM,Theft,284,18800 Block 220TH AVE SE,MAPLE VALLEY,WA,98038,02/21/2019 01:34:00 AM,02/21/2019 01:35:00 AM,10,Wednesday,POINT (-122.045914 47.433452)
C19026518,03/07/2019 12:00:00 AM,Property Crime,182,12900 Block 167TH AVE NE,REDMOND,WA,98052,07/21/2019 08:55:00 PM,07/22/2019 07:56:00 PM,0,Thursday,POINT (-122.11717500000002 47.71573)
C19026473,07/10/2019 12:01:00 AM,Other,510,20900 Block 104TH PL SE,KENT,WA,98031,07/15/2019 05:25:00 PM,07/15/2019 09:17:00 PM,0,Wednesday,POINT (-122.20208100000002 47.414532)
C19022110,05/29/2019 12:00:00 AM,Other,231,23500 Block NE NOVELTY HILL RD,REDMOND,WA,98053,06/12/2019 10:45:00 PM,06/13/2019 06:37:00 PM,0,Wednesday,POINT (-122.026374 47.699991)
C18055280,12/26/2018 07:38:00 AM,Property Crime,192,21600 Block NE 97TH PL,REDMOND,WA,98053,01/11/2019 07:24:00 PM,02/21/2019 02:04:00 AM,7,Wednesday,POINT (-122.05136200000001 47.686519)
C19016415,04/30/2019 09:34:00 AM,Drugs,204,1 Block AVE SW & SW 98TH ST,WHITE CENTER,WA,98106,04/30/2019 06:46:00 PM,04/30/2019 08:37:00 PM,9,Tuesday,
C19044234,11/18/2019 08:12:00 PM,Other,234,9100 Block MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118,11/19/2019 04:05:00 PM,11/19/2019 05:56:00 PM,20,Monday,POINT (-122.279382 47.52195)
C19019816,05/24/2019 05:12:00 PM,Other,162,11400 Block 164TH AVE SE,RENTON,WA,98059,05/25/2019 10:48:00 PM,05/29/2019 12:26:00 AM,17,Friday,POINT (-122.12212300000002 47.500192)
C19002075,12/27/2018 11:30:00 AM,Theft,284,SE AUBURN BLACK DIAMOND RD & SE GREEN VALLEY RD,AUBURN,WA,98092,01/16/2019 11:44:00 PM,02/21/2019 02:32:00 AM,11,Thursday,POINT (-122.177214 47.301044)
C19013276,04/07/2019 12:44:00 AM,Traffic,424,S 126TH ST & 74TH AVE S,BRYN MAWR-SKYWAY,WA,98178,04/12/2019 02:05:00 AM,04/12/2019 10:44:00 PM,0,Sunday,POINT (-122.241382 47.4909)
C18043158,10/02/2018 03:11:00 PM,Traffic,467,1 Block LAKESHORE PLZ,KIRKLAND,WA,98033,02/06/2019 08:34:00 PM,02/21/2019 02:35:00 AM,15,Tuesday,
C19002649,01/19/2019 04:31:00 AM,Weapons Offense,225,17800 Block SE 102ND ST,RENTON,WA,98059,01/30/2019 05:47:00 PM,02/21/2019 02:30:00 AM,4,Saturday,POINT (-122.10329300000001 47.510831)
C18055199,12/26/2018 01:29:00 AM,Other,162,41300 Block 268TH AVE SE,ENUMCLAW,WA,98022,01/17/2019 07:47:00 PM,02/21/2019 01:49:00 AM,1,Wednesday,POINT (-121.984367 47.231189)
C18044902,10/14/2018 03:30:00 PM,Other,234,19600 Block 208TH AVE SE,RENTON,WA,98058,02/21/2019 12:35:00 AM,02/21/2019 12:36:00 AM,15,Sunday,POINT (-122.06385 47.425751)
C19024434,06/24/2019 12:00:00 AM,Other,503,200 Block 17TH ST SE,AUBURN,WA,98002,06/28/2019 05:55:00 PM,07/17/2019 06:08:00 PM,0,Monday,POINT (-122.226422 47.293615)
C19027277,07/18/2019 10:00:00 AM,Property Crime,332,500 Block 4TH AVE,SEATTLE,WA,98104,07/19/2019 03:25:00 PM,07/19/2019 05:37:00 PM,10,Thursday,POINT (-122.329975 47.602883)
C18049004,11/10/2018 04:07:00 PM,Vehicle Recovery,311,18700 Block 131ST AVE SE,RENTON,WA,98058,01/17/2019 07:25:00 PM,02/21/2019 01:10:00 AM,16,Saturday,POINT (-122.166237 47.434591)
C19033845,09/03/2019 09:45:00 PM,Other,162,28900 Block 188TH PL SE,KENT,WA,98042,09/04/2019 03:25:00 PM,09/04/2019 05:17:00 PM,21,Tuesday,POINT (-122.090933 47.343406)
C19026514,07/11/2019 04:45:00 AM,Theft from Vehicle,288,10000 Block 15TH AVE SW,SEATTLE,WA,98146,07/13/2019 07:35:00 AM,07/15/2019 08:47:00 PM,4,Thursday,POINT (-122.353902 47.513711)
C18034033,08/01/2018 05:00:00 AM,Assault,112,1 Block OBER STRASSE,SNOQUALMIE PASS,WA,98068,01/17/2019 06:48:00 PM,02/21/2019 12:05:00 AM,5,Wednesday,
C19008646,03/05/2013 08:00:00 AM,Other,377,11900 Block FAY RD NE,CARNATION,WA,98014,03/06/2019 09:55:00 PM,03/07/2019 11:08:00 PM,8,Tuesday,POINT (-121.916584 47.70353300000001)
C18034386,08/03/2018 09:12:00 AM,Other,371,1 Block AVE & CHERRY ST,SEATTLE,WA,98104,01/10/2019 11:49:00 PM,02/20/2019 11:31:00 PM,9,Friday,
C18051526,11/28/2018 12:00:00 PM,Theft,284,10000 Block 1ST AVE SW,SEATTLE,WA,98146,01/17/2019 07:31:00 PM,02/21/2019 01:22:00 AM,12,Wednesday,POINT (-122.33567000000001 47.513888)
C19033688,09/02/2019 11:57:00 PM,Liquor,370,14500 Block SE PETROVITSKY RD,RENTON,WA,98058,09/04/2019 03:45:00 PM,09/04/2019 05:36:00 PM,23,Monday,POINT (-122.14792300000002 47.443913)
C19006538,02/19/2019 09:30:00 AM,Property Crime,332,1200 Block SW 104TH ST,SEATTLE,WA,98146,02/20/2019 01:14:00 PM,03/08/2019 08:27:00 PM,9,Tuesday,
C19017726,05/09/2019 04:52:00 PM,Vehicle Recovery,311,1400 Block SW 107TH ST,SEATTLE,WA,98146,05/11/2019 12:35:00 AM,05/11/2019 03:19:00 AM,16,Thursday,POINT (-122.351428 47.507188000000006)
C19032453,08/24/2019 05:04:00 PM,Theft,284,40600 Block SE REINIG RD,SNOQUALMIE,WA,98065,08/25/2019 09:35:00 PM,09/04/2019 12:10:00 AM,17,Saturday,POINT (-121.80145699999998 47.529387)
